NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês,Ano da safra (Código),Ano da safra,Produto das lavouras (Código),Produto das lavouras
1,Brasil,1006,Hectares,83856075,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,0,Total
1,Brasil,1006,Hectares,69130271,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39428,"1 Cereais, leguminosas e oleaginosas"
1,Brasil,1006,Hectares,1376225,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39429,1.1 Algodão herbáceo
1,Brasil,1006,Hectares,174421,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39430,1.2 Amendoim (1ª Safra)
1,Brasil,1006,Hectares,6928,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39431,1.3 Amendoim (2ª Safra)
1,Brasil,1006,Hectares,1680428,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39432,1.4 Arroz
1,Brasil,1006,Hectares,477008,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39433,1.5 Aveia
1,Brasil,1006,Hectares,4758,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39434,1.6 Centeio
1,Brasil,1006,Hectares,115065,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39435,1.7 Cevada
1,Brasil,1006,Hectares,1501953,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39436,1.8 Feijão (1ª Safra)
1,Brasil,1006,Hectares,1113171,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39437,1.9 Feijão (2ª Safra)
1,Brasil,1006,Hectares,215721,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39438,1.10 Feijão (3ª Safra)
1,Brasil,1006,Hectares,42047,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39439,1.11 Girassol
1,Brasil,1006,Hectares,46934,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39440,1.12 Mamona
1,Brasil,1006,Hectares,5081148,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39441,1.13 Milho (1ª Safra)
1,Brasil,1006,Hectares,14623294,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39442,1.14 Milho (2ª Safra)
1,Brasil,1006,Hectares,38988530,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39443,1.15 Soja
1,Brasil,1006,Hectares,868262,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39444,1.16 Sorgo
1,Brasil,1006,Hectares,2798360,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39445,1.17 Trigo
1,Brasil,1006,Hectares,16018,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39446,1.18 Triticale
1,Brasil,1006,Hectares,476064,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39449,4 Banana
1,Brasil,1006,Hectares,59330,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39450,5 Batata - inglesa (1ª Safra)
1,Brasil,1006,Hectares,39337,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39451,6 Batata - inglesa (2ª Safra)
1,Brasil,1006,Hectares,27019,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39452,7 Batata - inglesa (3ª Safra)
1,Brasil,1006,Hectares,617529,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39453,8 Cacau
1,Brasil,1006,Hectares,1448579,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39454,9 Café arábica
1,Brasil,1006,Hectares,400977,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39455,10 Café canephora
1,Brasil,1006,Hectares,8884003,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39456,11 Cana-de-açúcar
1,Brasil,1006,Hectares,427874,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39457,12 Castanha-de-caju
1,Brasil,1006,Hectares,338345,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39460,15 Fumo
1,Brasil,1006,Hectares,-,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39462,17 Juta
1,Brasil,1006,Hectares,596257,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39463,18 Laranja
1,Brasil,1006,Hectares,1280920,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39467,21 Mandioca
1,Brasil,1006,Hectares,54484,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39470,24 Tomate
1,Brasil,1006,Hectares,75086,1,Brasil,109,Área plantada,202211,novembro 2022,48584,Safra 2021,39471,25 Uva
1,Brasil,1006,Hectares,88387133,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,0,Total
1,Brasil,1006,Hectares,73697872,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39428,"1 Cereais, leguminosas e oleaginosas"
1,Brasil,1006,Hectares,1622172,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39429,1.1 Algodão herbáceo
1,Brasil,1006,Hectares,211304,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39430,1.2 Amendoim (1ª Safra)
1,Brasil,1006,Hectares,7345,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39431,1.3 Amendoim (2ª Safra)
1,Brasil,1006,Hectares,1657464,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39432,1.4 Arroz
1,Brasil,1006,Hectares,506571,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39433,1.5 Aveia
1,Brasil,1006,Hectares,5249,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39434,1.6 Centeio
1,Brasil,1006,Hectares,130666,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39435,1.7 Cevada
1,Brasil,1006,Hectares,1459221,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39436,1.8 Feijão (1ª Safra)
1,Brasil,1006,Hectares,1128911,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39437,1.9 Feijão (2ª Safra)
1,Brasil,1006,Hectares,237395,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39438,1.10 Feijão (3ª Safra)
1,Brasil,1006,Hectares,36365,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39439,1.11 Girassol
1,Brasil,1006,Hectares,48442,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39440,1.12 Mamona
1,Brasil,1006,Hectares,5349883,1,Brasil,109,Área plantada,202211,novembro 2022,50483,Safra 2022,39441,1.13 Milho (1ª Safra)
