id_Sidra,unit,value,types,year_month,year_harvest,product,created_at
3,Hectares,1376225,Area plantada,2022-11-01,2021,Algodao herbaceo,2022-12-16 00:43:04.487222
4,Hectares,174421,Area plantada,2022-11-01,2021,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
5,Hectares,6928,Area plantada,2022-11-01,2021,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
6,Hectares,1680428,Area plantada,2022-11-01,2021,Arroz,2022-12-16 00:43:04.487222
7,Hectares,477008,Area plantada,2022-11-01,2021,Aveia,2022-12-16 00:43:04.487222
8,Hectares,4758,Area plantada,2022-11-01,2021,Centeio,2022-12-16 00:43:04.487222
9,Hectares,115065,Area plantada,2022-11-01,2021,Cevada,2022-12-16 00:43:04.487222
10,Hectares,1501953,Area plantada,2022-11-01,2021,Feijao (1ª Safra),2022-12-16 00:43:04.487222
11,Hectares,1113171,Area plantada,2022-11-01,2021,Feijao (2ª Safra),2022-12-16 00:43:04.487222
12,Hectares,215721,Area plantada,2022-11-01,2021,Feijao (3ª Safra),2022-12-16 00:43:04.487222
13,Hectares,42047,Area plantada,2022-11-01,2021,Girassol,2022-12-16 00:43:04.487222
14,Hectares,46934,Area plantada,2022-11-01,2021,Mamona,2022-12-16 00:43:04.487222
15,Hectares,5081148,Area plantada,2022-11-01,2021,Milho (1ª Safra),2022-12-16 00:43:04.487222
16,Hectares,14623294,Area plantada,2022-11-01,2021,Milho (2ª Safra),2022-12-16 00:43:04.487222
17,Hectares,38988530,Area plantada,2022-11-01,2021,Soja,2022-12-16 00:43:04.487222
18,Hectares,868262,Area plantada,2022-11-01,2021,Sorgo,2022-12-16 00:43:04.487222
19,Hectares,2798360,Area plantada,2022-11-01,2021,Trigo,2022-12-16 00:43:04.487222
20,Hectares,16018,Area plantada,2022-11-01,2021,Triticale,2022-12-16 00:43:04.487222
21,Hectares,476064,Area plantada,2022-11-01,2021,Banana,2022-12-16 00:43:04.487222
22,Hectares,59330,Area plantada,2022-11-01,2021,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
23,Hectares,39337,Area plantada,2022-11-01,2021,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
24,Hectares,27019,Area plantada,2022-11-01,2021,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
25,Hectares,617529,Area plantada,2022-11-01,2021,Cacau,2022-12-16 00:43:04.487222
26,Hectares,1448579,Area plantada,2022-11-01,2021,Cafe arabica,2022-12-16 00:43:04.487222
27,Hectares,400977,Area plantada,2022-11-01,2021,Cafe canephora,2022-12-16 00:43:04.487222
28,Hectares,8884003,Area plantada,2022-11-01,2021,Cana-de-acucar,2022-12-16 00:43:04.487222
29,Hectares,427874,Area plantada,2022-11-01,2021,Castanha-de-caju,2022-12-16 00:43:04.487222
30,Hectares,338345,Area plantada,2022-11-01,2021,Fumo,2022-12-16 00:43:04.487222
31,Hectares,0,Area plantada,2022-11-01,2021,Juta,2022-12-16 00:43:04.487222
32,Hectares,596257,Area plantada,2022-11-01,2021,Laranja,2022-12-16 00:43:04.487222
33,Hectares,1280920,Area plantada,2022-11-01,2021,Mandioca,2022-12-16 00:43:04.487222
34,Hectares,54484,Area plantada,2022-11-01,2021,Tomate,2022-12-16 00:43:04.487222
35,Hectares,75086,Area plantada,2022-11-01,2021,Uva,2022-12-16 00:43:04.487222
38,Hectares,1622172,Area plantada,2022-11-01,2022,Algodao herbaceo,2022-12-16 00:43:04.487222
39,Hectares,211304,Area plantada,2022-11-01,2022,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
40,Hectares,7345,Area plantada,2022-11-01,2022,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
41,Hectares,1657464,Area plantada,2022-11-01,2022,Arroz,2022-12-16 00:43:04.487222
42,Hectares,506571,Area plantada,2022-11-01,2022,Aveia,2022-12-16 00:43:04.487222
43,Hectares,5249,Area plantada,2022-11-01,2022,Centeio,2022-12-16 00:43:04.487222
44,Hectares,130666,Area plantada,2022-11-01,2022,Cevada,2022-12-16 00:43:04.487222
45,Hectares,1459221,Area plantada,2022-11-01,2022,Feijao (1ª Safra),2022-12-16 00:43:04.487222
46,Hectares,1128911,Area plantada,2022-11-01,2022,Feijao (2ª Safra),2022-12-16 00:43:04.487222
47,Hectares,237395,Area plantada,2022-11-01,2022,Feijao (3ª Safra),2022-12-16 00:43:04.487222
48,Hectares,36365,Area plantada,2022-11-01,2022,Girassol,2022-12-16 00:43:04.487222
49,Hectares,48442,Area plantada,2022-11-01,2022,Mamona,2022-12-16 00:43:04.487222
50,Hectares,5349883,Area plantada,2022-11-01,2022,Milho (1ª Safra),2022-12-16 00:43:04.487222
51,Hectares,16052482,Area plantada,2022-11-01,2022,Milho (2ª Safra),2022-12-16 00:43:04.487222
52,Hectares,41077058,Area plantada,2022-11-01,2022,Soja,2022-12-16 00:43:04.487222
53,Hectares,1037834,Area plantada,2022-11-01,2022,Sorgo,2022-12-16 00:43:04.487222
54,Hectares,3108430,Area plantada,2022-11-01,2022,Trigo,2022-12-16 00:43:04.487222
55,Hectares,21080,Area plantada,2022-11-01,2022,Triticale,2022-12-16 00:43:04.487222
56,Hectares,473200,Area plantada,2022-11-01,2022,Banana,2022-12-16 00:43:04.487222
57,Hectares,56985,Area plantada,2022-11-01,2022,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
58,Hectares,39186,Area plantada,2022-11-01,2022,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
59,Hectares,27433,Area plantada,2022-11-01,2022,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
